40A;20170927000000001;2;280031406;2018;351403-4;S;;49053;11;120;115;237;0;622;2017;2183909;27;15;0107554446;00000000
40A;20170927000000001;2;280031408;2018;351403-4;S;;49053;11;120;115;237;0;622;2017;2183909;27;15;0107555446;00000000
40A;20170927000000001;2;280031410;2018;351402-4;S;;169511;11;110;0;0;0;577;2017;0;27;15;0107556446;00000000
40A;20170927000000001;2;280031415;2018;356365-4;N;;1221;01;220;160;208;0;368;2015;2183909;27;15;0107557446;00000000
40A;20170927000000001;2;280031416;2018;363590-4;N;;2190;01;499;0;0;1;0;2013;0;27;15;0107558446;00000000
40A;20170927000000001;2;280031424;2018;362640-4;N;;37800;01;113;25;0;0;80;2017;2183906;27;15;0115554446;00000000
40A;20170927000000001;2;280031425;2018;369764-4;N;;5268;01;220;150;296;0;446;2015;2183906;27;15;0115555446;00000000
40A;20170927000000001;2;280031432;2018;365466-4;N;;17600;01;220;110;158;0;268;2015;2183906;27;15;0115557446;00000000
40A;20170927000000001;2;280031433;2018;351954-4;S;;26150;11;120;25;144;0;205;2017;2183906;27;15;0115558446;00000000
40A;20170927000000001;2;280031434;2018;361217-4;N;;1450;01;220;111;190;0;301;2015;2183906;27;15;0115559446;00000000
40A;20170927000000001;2;280031435;2018;355516-4;N;;1225;01;213;48;0;0;48;2015;2183906;27;15;0115560446;00000000
40A;20170927000000001;2;280031439;2018;351972-4;S;;6035297;11;120;90;405;0;11981;2017;2183906;27;15;0115562446;00000000
40A;20170927000000001;2;280031440;2018;370030-4;S;;1712566;11;120;170;820;0;6298;2017;2183906;27;15;0115564446;00000000
40A;20170927000000001;2;280031442;2018;365745-4;N;;13000;01;412;195;0;1;195;2013;2183010;27;15;0115566446;00000000
40A;20170927000000001;2;280031444;2018;352051-4;S;;51890;11;120;48;121;0;303;2017;2183900;27;15;0115567446;00000000
40A;20170927000000001;2;280031445;2018;361479-4;N;;1905;01;220;118;451;0;569;2015;2183906;27;15;0115568446;00000000
40A;20170927000000001;2;280031446;2018;370030-4;S;;1712566;11;120;170;820;0;6298;2017;2183906;27;15;0115569446;00000000
40A;20170927000000001;2;280031447;2018;362993-4;N;;19725;01;821;0;0;0;0;2013;0;27;15;0115570446;00000000
40A;20170927000000001;2;280031449;2018;351956-4;S;;1790158;11;120;95;412;0;5196;2017;2183906;27;15;0115572446;00000000
40A;20170927000000001;2;280031451;2018;352051-4;S;;51890;11;120;48;121;0;303;2017;2183900;27;15;0115574446;00000000
40A;20170927000000001;2;280031452;2018;351956-4;S;;1790158;11;120;95;412;0;5196;2017;2183906;27;15;0115575446;00000000
40A;20170927000000001;2;280031453;2018;368741-4;N;;5710;01;213;82;0;0;82;2015;2183900;27;15;0115576446;00000000
40A;20170927000000001;2;280031455;2018;357261-4;N;;483685;01;120;92;279;0;2369;2017;2183906;27;15;0115577446;00000000
40A;20170927000000001;2;280031459;2018;364434-4;N;;3170;01;220;157;189;0;346;2015;2183906;27;15;0115578446;00000000
40A;20170927000000001;2;280031461;2018;352971-4;N;;6444;01;425;96;149;1;245;2017;2183010;27;15;0115579446;00000000
40A;20170927000000001;2;280031462;2018;365944-4;N;;2690;01;220;150;230;0;380;2015;2183906;27;15;0115580446;00000000
40A;20170927000000001;2;280031463;2018;351954-4;S;;26150;11;120;25;144;0;205;2017;2183906;27;15;0115581446;00000000
40A;20170927000000001;2;280031464;2018;361690-4;N;;10460;01;220;170;340;0;510;2015;2183906;27;15;0115582446;00000000
40A;20170927000000001;2;280031466;2018;368846-4;N;;20730;01;120;110;238;0;384;2017;2183906;27;15;0115583446;00000000
40A;20170927000000001;2;280031468;2018;357368-4;N;;2226;01;213;63;0;0;63;2015;2183906;27;15;0115584446;00000000
40A;20170927000000001;2;280031475;2018;351959-4;N;;540105;01;110;0;0;0;2312;2017;0;27;15;0115588446;00000000
40A;20170927000000001;2;280031477;2018;360484-4;N;;1100;01;220;106;232;0;338;2015;2183906;27;15;0115589446;00000000
40A;20170927000000001;2;280031478;2018;354720-4;N;;5468;01;220;150;488;0;638;2015;2183906;27;15;0115590446;00000000
40A;20170927000000001;2;280031480;2018;351960-4;S;;172081;11;120;45;165;0;616;2017;2183906;27;15;0115591446;00000000
40A;20170927000000001;2;280031481;2018;369121-4;N;;91025;01;120;95;184;0;475;2017;2183906;27;15;0115592446;00000000
40A;20170927000000001;2;280031483;2018;351961-4;S;;690065;11;120;85;411;0;2172;2017;2183906;27;15;0115594446;00000000
40A;20170927000000001;2;280031485;2018;360561-4;N;;188266;01;113;35;0;0;676;2017;2183906;27;15;0115596446;00000000
40A;20170927000000001;2;280031487;2018;352051-4;S;;51890;11;120;48;121;0;303;2017;2183900;27;15;0115598446;00000000
40A;20170927000000001;2;280031488;2018;352051-4;S;;51890;11;120;48;121;0;303;2017;2183900;27;15;0115599446;00000000
40A;20170927000000001;2;280031489;2018;352051-4;S;;51890;11;120;48;121;0;303;2017;2183900;27;15;0115600446;00000000
40A;20170927000000001;2;280031490;2018;352051-4;S;;51890;11;120;48;121;0;303;2017;2183900;27;15;0115601446;00000000
40A;20170927000000001;2;280031491;2018;352051-4;S;;51890;11;120;48;121;0;303;2017;2183900;27;15;0115602446;00000000
40A;20170927000000001;2;280031492;2018;352051-4;S;;51890;11;120;48;121;0;303;2017;2183900;27;15;0115603446;00000000
40A;20170927000000001;2;280031497;2018;368494-4;N;;2183206;01;120;162;760;0;5022;2017;2183906;27;15;0115607446;00000000
40A;20170927000000001;2;280031498;2018;357005-4;N;;359304;01;110;0;0;0;964;2017;0;27;15;0115608446;00000000
40A;20170927000000001;2;280031499;2018;364200-4;N;;127138;01;120;90;549;0;1024;2017;2183906;27;15;0115609446;00000000
40A;20170927000000001;2;280031500;2018;352033-4;S;;426525;11;113;45;0;0;1438;2017;2183906;27;15;0115610446;00000000
40A;20170927000000001;2;280031502;2018;351962-4;S;;34839;11;120;90;140;0;335;2017;2183906;27;15;0115612446;00000000
40A;20170927000000001;2;280031503;2018;361431-4;N;;712;01;299;0;0;0;0;2015;0;27;15;0115613446;00000000
40A;20170927000000001;2;280031504;2018;352033-4;S;;426525;11;113;45;0;0;1438;2017;2183906;27;15;0115614446;00000000
40A;20170927000000001;2;280031506;2018;351964-4;S;;41729;11;220;150;322;0;472;2015;2183906;27;15;0115615446;00000000
40A;20170927000000001;2;280031507;2018;351964-4;S;;41729;11;220;150;322;0;472;2015;2183906;27;15;0115616446;00000000
40A;20170927000000001;2;280031508;2018;352821-4;N;;265354;01;110;0;0;0;1054;2017;0;27;15;0115617446;00000000
40A;20170927000000001;2;280031509;2018;360025-4;N;;13734;01;220;130;50;0;180;2015;2183906;27;15;0115618446;00000000
40A;20170927000000001;2;280031511;2018;351966-4;S;;28402;11;120;90;445;0;689;2017;2183906;27;15;0115619446;00000000
40A;20170927000000001;2;280031512;2018;351952-4;S;;1769591;11;120;90;447;0;2629;2017;2183906;27;15;0115620446;00000000
40A;20170927000000001;2;280031514;2018;361709-4;N;;1600;01;220;114;194;0;308;2015;2183906;27;15;0115622446;00000000
40A;20170927000000001;2;280031644;2018;370735-4;N;;881;01;220;217;446;0;663;2015;2183015;27;15;0107559446;00000000
